Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_leg,0.0020950013124778,0.173937286502491,4.16333634234434E-17,0,0,0,6.90607667394109,0.0874000302830266,-0.00185919086350345,7.1175382518895E-19,0.0234639864741564,-7.53078148089085E-18,0.0868667740278979,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_leg.STL,,leg-2,Origin_left_leg_joint,Axis_left_leg_joint,left_leg_joint,revolute,0,-0.069246,0,1.5708,1.5708,0,left_hip,1,0,0,100,10,-3.14,3.14,,,,,,,,
left_knee,0,-0.114379732466841,3.64291929955129E-17,0,0,0,4.0874110281987,0.0301800448742339,-3.2479730113273E-18,-9.76063588449612E-19,0.0139240835744229,1.94592153639194E-18,0.0312348898732568,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_knee.STL,,knee-2,Origin_left_knee_joint,Axis_left_knee_joint,left_knee_joint,revolute,0,0.3683,0,3.1416,1.5708,0,left_leg,1,0,0,100,10,-3.14,3.14,,,,,,,,
left_ankle_pt1,0,-0.0629029228281084,-5.17681400300177E-05,0,0,0,1.17515922067024,0.00302389455208288,2.22197930234944E-19,1.74730728656942E-19,0.00163337750998661,7.87013630139063E-19,0.00318668563105977,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_ankle_pt1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_ankle_pt1.STL,,ankle-2,Origin_left_ankle_pt1_joint,Axis_left_ankle_pt1_joint,left_ankle_pt1_joint,revolute,0,-0.2794,0,3.1416,0,3.1416,left_knee,0,0,1,100,10,-3.14,3.14,,,,,,,,
left_ankle_pt2,-0.0113876860437379,-0.0557449655653097,1.21430643318376E-17,0,0,0,1.13544679961476,0.00182638215770938,-0.000264485879523374,8.7811080667131E-22,0.00256318780094316,-8.77307876588523E-20,0.00258363858998943,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_ankle_pt2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_ankle_pt2.STL,,ankle_pt2-2,Origin_left_ankle_pt2_joint,Axis_left_ankle_pt2_joint,left_ankle_pt2_joint,revolute,0,-0.12954,-5.1768E-05,3.1416,0,3.1416,left_ankle_pt1,0,1,0,100,10,-3.14,3.14,,,,,,,,
left_wheel,8.32667268468867E-17,-0.0254000000000003,-1.2490009027033E-16,0,0,0,6.69902756890433,0.114271466015671,-5.97489383911613E-17,-3.46944695195361E-17,0.225661635613773,7.67227116125576E-18,0.114271466015671,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/left_wheel.STL,,wheel-2,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.077216,-0.0762,0,0,-0.55466,-1.5708,left_ankle_pt2,0,1,0,,,,,,,,,,,,
right_hip,-3.24063689216558E-08,0.0933881267335711,-2.93284196921373E-07,0,0,0,1.93964619163942,0.0106525223302185,7.10819581577124E-10,1.35242370870441E-09,0.00698383305415747,1.23222038584418E-08,0.00888495918343657,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_hip.STL,,hip-1,Origin_right_hip_joint,Axis_right_hip_joint,right_hip_joint,revolute,0.010602,-0.30928,1.1072,3.1416,1.5708,0,base_link,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_leg,0.00209500131247771,0.173937286502492,-5.55111512312578E-17,0,0,0,6.90607667394109,0.0874000302830266,-0.00185919086350345,2.05319843182843E-18,0.0234639864741564,1.67952993641204E-17,0.086866774027898,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_leg.STL,,leg-1,Origin_right_leg_joint,Axis_right_leg_joint,right_leg_joint,revolute,0,0.10795,0,1.5708,1.5708,0,right_hip,1,0,0,100,10,-3.14,3.14,,,,,,,,
right_knee,1.45805040263625E-09,0.114079028396153,-0.0082884545830748,0,0,0,4.0874110281987,0.0301800448742339,-2.0667383998578E-10,1.50641018609994E-11,0.0140149840736073,0.00125111871263126,0.0311439893740724,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_knee.STL,,knee-1,Origin_right_knee_joint,Axis_right_knee_joint,right_knee_joint,revolute,0,0.3683,0,3.0691,-1.5708,0,right_leg,1,0,0,100,10,-3.14,3.14,,,,,,,,
right_ankle_pt1,0,-0.0629029228281084,5.1768140029931E-05,0,0,0,1.17515922067024,0.00302389455208289,-4.457890892925E-19,2.00452508352177E-19,0.00163337750998661,-3.44488188062192E-19,0.00318668563105978,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_ankle_pt1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_ankle_pt1.STL,,ankle-1,Origin_right_ankle_pt1_joint,Axis_right_ankle_pt1_joint,right_ankle_pt1_joint,revolute,0,0.27867,-0.020247,3.0691,0,0,right_knee,0,0,1,100,10,-3.14,3.14,,,,,,,,
right_ankle_pt2,-0.0113876860437378,0.0557449655653096,1.21430643318376E-17,0,0,0,1.13544679961476,0.00182638215770938,0.000264485879523375,-3.0106906459211E-21,0.00256318780094316,9.09296859182037E-20,0.00258363858998943,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_ankle_pt2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_ankle_pt2.STL,,ankle_pt2-1,Origin_right_ankle_pt2_joint,Axis_right_ankle_pt2_joint,right_ankle_pt2_joint,revolute,0,-0.12954,5.1768E-05,3.1416,0,0,right_ankle_pt1,0,1,0,100,10,-3.14,3.14,,,,,,,,
right_wheel,0,-0.0254000000000003,2.77555756156289E-16,0,0,0,6.69902756890434,0.114271466015671,-3.58115635159599E-17,-1.38777878078145E-17,0.225661635613773,-3.22154684235905E-17,0.114271466015671,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/right_wheel.STL,,wheel-1,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.077216,0.0762,0,0,1.183,-1.5708,right_ankle_pt2,0,1,0,100,10,-3.14,3.14,,,,,,,,
neck,-1.21430643318376E-17,0.145510643487064,1.11022302462516E-16,0,0,0,17.1307231054686,0.191681675087255,-8.08732484847028E-18,1.09320189755008E-17,0.178241912023667,2.10132051143793E-18,0.191681675087255,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/neck.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheeled_humanoid_robot/meshes/neck.STL,,head-1,Origin_neck_joint,Axis_neck_joint,neck_joint,continuous,0.010481,-0.24324,1.7702,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
